Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,Depth (msw),Dive Time (min),till 1st stop,21 air,18 air,15 air,12 air,9 air,12 oxygen,9 air,9 oxygen,6 air,6 oxygen,3 air,3 oxygen,Total deco time (min),Total OTU,Total ESOT,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,60,12,27,40,2.7,,,,,,10,,10,5,5,,,33.9,86,143,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,60,12,27,50,2.7,,,,,,10,,10,5,10,,,38.9,102,163,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,60,12,27,60,2.7,,,,,,10,,10,5,20,,,48.9,127,198,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,60,12,27,70,2.7,,,,,,20,5,20,5,10,,,63.9,165,278,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,60,12,27,80,1.8,,,,,1,20,5,20,5,15,,,69.9,181,298,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,60,12,27,90,1.8,,,,,2,20,5,20,5,20,5,5,85.9,204,327,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,50,12,30,20,3,,,,,,10,,,,,,,14.2,43,76,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,50,12,30,30,3,,,,,,10,,10,,,,,24.2,74,126,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,50,12,30,40,2.1,,,,,1,10,,10,5,10,,,40.2,100,161,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,50,12,30,50,2.1,,,,,1,10,,10,5,15,,,45.2,117,183,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,50,12,30,60,2.1,,,,,3,20,5,20,5,10,,,67.2,166,279,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,50,12,30,70,1.8,,,,1,4,20,5,20,5,20,,,79.2,193,315,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,50,12,30,80,1.8,,,,2,5,20,5,20,5,20,5,10,96.2,215,340,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,40,12,33,10,3.3,,,,,,10,,,,,,,14.5,36,71,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,40,12,33,20,3.3,,,,,,10,,5,,,,,19.5,57,101,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,40,12,33,30,2.4,,,,,1,10,,10,5,5,,,35.5,87,144,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,40,12,33,40,2.1,,,,1,2,10,,10,5,15,,,47.5,115,181,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,40,12,33,50,2.1,,,,2,3,10,,10,5,20,,,54.5,133,204,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,40,12,33,60,2.1,,,,4,3,20,5,20,5,15,,,76.5,183,301,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,40,12,33,70,2.1,,,,6,5,20,5,20,5,20,5,5,95.5,208,333,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,35,12,36,10,3.6,,,,,,10,,,,,,,14.8,38,73,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,35,12,36,20,3.6,,,,,,10,,5,,,,,19.8,60,104,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,35,12,36,30,2.4,,,,2,1,10,,10,5,10,,,42.8,100,163,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,35,12,36,40,2.4,,,,3,2,10,,10,5,20,,,54.8,129,202,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,35,12,36,50,2.1,,,1,4,4,20,5,20,5,10,,,73.8,170,285,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,35,12,36,55,2.1,,,1,6,3,20,5,20,5,20,,,84.8,194,319,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,35,12,36,60,2.1,,,1,7,4,20,5,20,5,20,5,5,96.8,206,333,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,39,10,3.9,,,,,,10,,,,,,,15.1,39,75,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,39,20,2.7,,,,1,1,10,,10,,,,,27.1,74,128,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,39,30,2.7,,,,3,2,10,,10,5,15,,,50.1,113,183,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,39,40,2.4,,,2,3,4,20,5,20,5,5,,,69.1,156,268,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,39,50,2.4,,,2,7,4,20,5,20,5,20,,,88.1,195,322,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,39,55,2.4,,,3,8,5,20,5,20,5,20,5,5,101.1,208,337,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,39,60,2.4,,,4,9,8,20,5,20,5,20,5,15,116.1,228,360,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,42,10,4.2,,,,,,10,,,,,,,15.4,42,78,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,42,20,3,,,,2,1,10,,10,5,5,,,38.4,86,147,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,42,30,2.7,,,2,3,2,10,,10,5,15,,,52.4,117,188,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,42,40,2.7,,,3,5,4,20,5,20,5,10,,,77.4,170,289,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,42,45,2.4,,1,3,7,4,20,5,20,5,20,,,90.4,195,325,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,30,12,42,50,2.4,,1,4,8,5,20,5,20,5,20,5,5,103.4,209,340,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,45,10,3.6,,,,,1,10,,,,,,,16.7,43,79,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,45,20,3,,,1,2,2,10,,10,5,5,,,40.7,88,151,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,45,30,3,,,3,4,2,10,,10,5,20,,,59.7,130,208,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,45,40,2.7,,2,3,7,4,20,5,20,5,15,,,86.7,185,312,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,45,45,2.7,,2,5,7,6,20,5,20,5,20,5,5,105.7,208,342,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,45,50,2.7,,3,6,10,8,20,5,20,5,20,5,15,122.7,229,368,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,48,10,3.9,,,,,1,10,,,,,,,17,44,82,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,48,20,3.3,,,2,3,1,10,,10,5,10,,,47,100,170,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,48,30,3,,2,3,4,4,10,,10,5,20,,,64,134,215,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,48,35,3,,3,3,7,3,20,5,20,5,15,,,87,182,312,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,25,12,48,40,2.7,1,3,4,8,4,20,5,20,5,20,5,5,106.6,207,344,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,20,12,51,10,3.9,,,,1,1,10,,5,,,,,23.3,58,107,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,20,12,51,20,3.3,,1,2,3,2,10,,10,5,10,,,49.3,103,175,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,20,12,51,30,3,1,2,3,6,4,20,5,20,5,10,,,82.3,169,296,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,20,12,51,35,3,2,2,4,8,3,20,5,20,5,20,,,95.3,196,335,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,20,12,51,40,3,2,3,6,8,8,20,5,20,5,20,5,10,118.3,219,362,3
