Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,Marker
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,70,12,24,1.41,30,80,2.1,,,,,,2,18,37,60,137,189,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,70,12,24,1.41,30,90,2.1,,,,,,4,20,44,71,154,213,3
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,60,12,26.5,1.51,33,20,3,,,,,,,,4,7.3,39,60,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,60,12,26.5,1.51,33,30,2.7,,,,,,,3,8,14.3,57,86,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,60,12,26.5,1.51,33,40,2.7,,,,,,,6,16,25.3,75,113,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,60,12,26.5,1.51,33,50,2.4,,,,,,1,8,23,35.3,94,140,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,60,12,26.5,1.51,33,60,2.4,,,,,,3,14,27,47.3,114,169,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,60,12,26.5,1.51,33,70,2.4,,,,,,4,19,37,63.3,133,197,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,60,12,26.5,1.51,33,80,2.4,,,,,,9,19,45,76.3,153,226,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,60,12,26.5,1.51,33,90,2.4,,,,,,13,19,52,87.3,172,254,3
