DVIS 5 Time Limit,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,
25,48,20,3,,,,2,3,3,9,30,51.8,30,40,
25,48,25,3,,,1,3,3,6,15,73,105.8,37,51,
25,48,30,3,,,2,3,4,8,22,115,158.8,44,62,
25,48,35,3,,,3,3,7,13,23,158,211.8,51,74,
25,48,40,2.7,,1,3,4,8,19,33,195,267.8,58,85,
25,48,45,2.7,,1,3,6,11,21,41,230,317.8,65,97,3
20,51,5,4.5,,,,,,,2,2,9.1,10,17,
20,51,10,3.9,,,,,1,2,4,5,17.1,18,25,
20,51,15,3.6,,,,1,2,4,5,17,34.1,25,35,2
20,51,20,3.3,,,1,2,3,4,10,44,69.1,32,46,
20,51,25,3.3,,,2,3,3,8,18,92,131.1,40,59,
20,51,30,3,,1,2,3,6,11,23,139,190.1,48,71,
20,51,35,3,,2,2,4,8,17,30,182,250.1,55,84,
20,51,40,3,,2,3,6,10,21,39,221,307.1,63,97,3
