DVIS 5 Time Limit,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,
240,12,110,0.9,,,,,,,,1,2.2,,19,
240,12,120,0.9,,,,,,,,3,4.2,,21,
240,12,130,0.9,,,,,,,,7,8.2,,23,
240,12,140,0.9,,,,,,,,11,12.2,,25,
240,12,150,0.9,,,,,,,,15,16.2,,27,
240,12,160,0.9,,,,,,,,18,19.2,,28,
240,12,170,0.9,,,,,,,,21,22.2,,30,
240,12,180,0.9,,,,,,,,25,26.2,,32,3
180,15,70,1.2,,,,,,,,5,6.5,6,17,
180,15,80,1.2,,,,,,,,9,10.5,7,19,
180,15,90,1.2,,,,,,,,14,15.5,7,22,
180,15,100,1.2,,,,,,,,22,23.5,8,24,
180,15,110,1.2,,,,,,,,29,30.5,9,27,2
180,15,120,1.2,,,,,,,,36,37.5,10,30,
180,15,130,1.2,,,,,,,,53,54.5,11,33,
180,15,140,1.2,,,,,,,,69,70.5,12,36,
180,15,150,1.2,,,,,,,,85,86.5,12,39,3
120,18,40,1.5,,,,,,,,2,3.8,9,12,
120,18,50,1.5,,,,,,,,5,6.8,12,16,
120,18,60,1.5,,,,,,,,13,14.8,14,19,
120,18,70,1.5,,,,,,,,20,21.8,16,22,
120,18,80,1.5,,,,,,,,31,32.8,19,26,2
120,18,90,1.5,,,,,,,,43,44.8,21,29,
120,18,100,1.2,,,,,,,4,65,70.8,24,34,
120,18,110,1.2,,,,,,,7,86,94.8,26,38,
120,18,120,1.2,,,,,,,9,107,117.8,28,42,
120,18,130,1.2,,,,,,,11,127,139.8,31,46,
120,18,140,1.2,,,,,,,12,146,159.8,33,50,
120,18,150,1.2,,,,,,,15,164,180.8,35,54,3
90,21,25,1.8,,,,,,,,2,4.1,9,10,
90,21,30,1.8,,,,,,,,3,5.1,11,12,
90,21,35,1.8,,,,,,,,5,7.1,13,14,
90,21,40,1.8,,,,,,,,7,9.1,15,16,
90,21,45,1.8,,,,,,,,12,14.1,17,18,
90,21,50,1.8,,,,,,,,17,19.1,18,20,
90,21,55,1.5,,,,,,,1,20,23.1,20,22,
90,21,60,1.5,,,,,,,2,27,31.1,22,25,2
90,21,65,1.5,,,,,,,3,33,38.1,24,27,
90,21,70,1.5,,,,,,,4,40,46.1,26,29,
90,21,75,1.5,,,,,,,7,54,63.1,28,32,
90,21,80,1.5,,,,,,,10,67,79.1,29,35,
90,21,85,1.5,,,,,,,12,81,95.1,31,37,
90,21,90,1.5,,,,,,,14,94,110.1,33,40,3
70,24,15,2.1,,,,,,,,1,3.4,7,8,
70,24,20,2.1,,,,,,,,3,5.4,10,10,
70,24,25,2.1,,,,,,,,4,6.4,12,13,
70,24,30,1.8,,,,,,,1,6,9.4,15,15,
70,24,35,1.8,,,,,,,2,9,13.4,17,18,
70,24,40,1.8,,,,,,,2,15,19.4,20,20,
70,24,45,1.8,,,,,,,3,20,25.4,22,23,2
70,24,50,1.8,,,,,,,5,27,34.4,25,26,
70,24,55,1.8,,,,,,,6,35,43.4,27,29,
70,24,60,1.8,,,,,,,9,48,59.4,30,32,
70,24,65,1.8,,,,,,,13,64,79.4,32,35,
70,24,70,1.8,,,,,,,16,81,99.4,35,39,
70,24,75,1.8,,,,,,,19,97,118.4,37,42,
70,24,80,1.5,,,,,,1,21,113,137.4,40,45,3
60,27,15,2.4,,,,,,,,2,4.7,10,10,
60,27,20,2.4,,,,,,,,5,7.7,13,13,
60,27,25,2.1,,,,,,,2,6,10.7,16,16,
60,27,30,2.1,,,,,,,3,9,14.7,19,19,
60,27,35,2.1,,,,,,,4,16,22.7,22,22,
60,27,40,1.8,,,,,,1,5,23,31.7,25,25,2
60,27,45,1.8,,,,,,1,7,32,42.7,28,29,
60,27,50,1.8,,,,,,1,10,44,57.7,31,32,
60,27,55,1.8,,,,,,2,14,65,83.7,34,37,
60,27,60,1.8,,,,,,3,17,84,106.7,37,41,
60,27,65,1.8,,,,,,4,20,103,129.7,40,45,
60,27,70,1.8,,,,,,5,22,122,151.7,43,49,
60,27,75,1.8,,,,,,7,23,141,173.7,46,53,
60,27,80,1.8,,,,,,10,24,159,195.7,49,57,3
50,30,10,2.7,,,,,,,,1,4,8,9,
50,30,15,2.4,,,,,,,1,3,7,11,12,
50,30,20,2.4,,,,,,,2,5,10,15,15,
50,30,25,2.4,,,,,,,4,8,15,19,19,
50,30,30,2.1,,,,,,1,4,16,24,22,23,
50,30,35,2.1,,,,,,2,6,23,34,26,27,2
50,30,40,2.1,,,,,,3,8,34,48,30,31,
50,30,45,2.1,,,,,,3,13,53,72,33,36,
50,30,50,2.1,,,,,,5,16,76,100,37,41,
50,30,55,2.1,,,,,,6,20,98,127,41,46,
50,30,60,2.1,,,,,,8,22,121,154,44,50,3
40,33,10,3,,,,,,,,2,5.3,9,10,
40,33,15,2.7,,,,,,,2,4,9.3,13,14,
40,33,20,2.4,,,,,,1,3,7,14.3,18,18,
40,33,25,2.4,,,,,,2,4,13,22.3,22,23,
40,33,30,2.4,,,,,,3,6,21,33.3,26,28,
40,33,35,2.1,,,,,1,3,8,34,49.3,30,32,
40,33,40,2.1,,,,,1,4,13,57,78.3,34,38,
40,33,45,2.1,,,,,2,6,17,84,112.3,39,44,
40,33,50,2.1,,,,,2,7,21,108,141.3,43,50,
40,33,55,2.1,,,,,2,10,23,133,171.3,47,55,
40,33,60,2.1,,,,,4,13,24,159,203.3,51,61,3
35,36,10,3,,,,,,,1,3,7.6,11,12,
35,36,15,2.7,,,,,,1,2,5,11.6,15,17,
35,36,20,2.7,,,,,,2,4,8,17.6,20,22,
35,36,25,2.7,,,,,,4,5,18,30.6,25,27,2
35,36,30,2.4,,,,,2,3,8,31,47.6,29,33,
35,36,35,2.4,,,,,2,5,12,55,77.6,34,39,
35,36,40,2.4,,,,,3,7,17,85,115.6,39,46,
35,36,45,2.4,,,,,3,9,21,112,148.6,44,53,
35,36,50,2.1,,,,1,4,11,23,142,184.6,48,59,
35,36,55,2.1,,,,1,6,15,26,169,220.6,53,66,
35,36,60,2.1,,,,1,7,18,33,193,255.6,58,73,3
30,39,5,3.6,,,,,,,,1,4.9,7,9,
30,39,10,3.3,,,,,,,2,3,8.9,12,15,
30,39,15,3,,,,,,1,4,6,14.9,17,20,
30,39,20,2.7,,,,,1,3,4,14,25.9,22,26,2
30,39,25,2.7,,,,,2,4,7,25,41.9,28,32,
30,39,30,2.7,,,,,3,4,11,46,67.9,33,39,
30,39,35,2.4,,,,1,3,7,16,80,110.9,38,47,
30,39,40,2.4,,,,2,3,8,22,112,150.9,44,55,
30,39,45,2.4,,,,2,5,12,23,144,189.9,49,62,
30,39,50,2.4,,,,2,7,16,27,174,229.9,54,70,
30,39,55,2.4,,,,3,8,19,35,200,268.9,59,78,
30,39,60,2.4,,,,4,11,20,41,227,306.9,65,86,3
30,42,5,3.9,,,,,,,,2,6.2,7,11,
30,42,10,3.3,,,,,,1,1,5,11.2,13,17,
30,42,15,3,,,,,1,2,4,7,18.2,19,23,
30,42,20,3,,,,,2,3,5,18,32.2,25,30,2
30,42,25,3,,,,,4,3,9,33,53.2,31,38,
30,42,30,2.7,,,,2,3,6,15,69,99.2,37,46,
30,42,35,2.7,,,,3,3,8,21,105,144.2,42,55,
30,42,40,2.7,,,,3,6,11,23,141,188.2,48,64,
30,42,45,2.4,,,1,3,7,16,28,174,233.2,54,73,
30,42,50,2.4,,,1,4,8,20,35,203,275.2,60,82,
30,42,55,2.4,,,1,6,11,21,42,233,318.2,66,91,3
25,45,5,4.2,,,,,,,,2,6.5,8,13,
25,45,10,3.6,,,,,,2,2,4,12.5,15,20,
25,45,15,3,,,,,1,3,4,10,22.5,21,26,2
25,45,20,3,,,,1,2,4,7,23,41.5,27,35,
25,45,25,3,,,,2,3,5,11,52,77.5,34,44,
25,45,30,3,,,,3,4,7,18,92,128.5,40,54,
25,45,35,2.7,,,1,3,5,10,23,131,177.5,46,64,
25,45,40,2.7,,,2,3,7,15,26,169,226.5,53,74,
25,45,45,2.7,,,2,5,7,20,35,201,274.5,59,85,
25,45,50,2.7,,,3,6,12,20,42,235,322.5,66,95,3
25,48,5,4.2,,,,,,,1,2,7.8,9,15,
25,48,10,3.6,,,,,1,1,3,5,14.8,16,22,
25,48,15,3.3,,,,1,1,4,4,14,28.8,23,31,2
