Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,Marker
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,70,4,24,1.41,30,70,2.4,,,,,,,15,36,54,119,167,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,70,4,24,1.41,30,80,2.1,,,,,,2,18,43,66,137,190,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,70,4,24,1.41,30,90,2.1,,,,,,5,19,55,82,154,215,3
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,60,4,26.5,1.51,33,20,3,,,,,,,,4,7.3,39,60,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,60,4,26.5,1.51,33,30,2.7,,,,,,,3,8,14.3,57,86,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,60,4,26.5,1.51,33,40,2.7,,,,,,,6,17,26.3,75,114,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,60,4,26.5,1.51,33,50,2.4,,,,,,1,8,24,36.3,94,140,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,60,4,26.5,1.51,33,60,2.4,,,,,,3,14,34,54.3,114,170,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,60,4,26.5,1.51,33,70,2.4,,,,,,4,19,43,69.3,133,198,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,60,4,26.5,1.51,33,80,2.4,,,,,,9,19,56,87.3,153,228,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,60,4,26.5,1.51,33,90,2.4,,,,,,13,21,65,102.3,173,257,3
