Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,21,18,15,12,9,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,24,0.714,24,40,2.4,,,,,,5,,,,11,26,46.2,21,23,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,24,0.714,24,50,2.4,,,,,,5,,,3,22,39,73.2,26,30,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,24,0.714,24,60,2.4,,,,,,5,,,11,26,87,133.2,31,38,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,24,0.714,24,70,2.4,,,,,,5,,,21,25,134,189.2,36,47,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,24,0.714,24,80,1.5,,,,,1,5,,2,25,29,176,242.2,41,54,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,27,0.777,27,20,2.7,,,,,,5,,,,2,8,19.5,14,15,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,27,0.777,27,30,2.7,,,,,,5,,,1,7,23,40.5,20,22,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,27,0.777,27,40,2.7,,,,,,5,,,4,19,27,59.5,26,29,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,27,0.777,27,50,2.7,,,,,,5,,,13,25,83,130.5,32,39,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,27,0.777,27,60,2.7,,,,,,5,,2,23,26,139,199.5,38,49,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,27,0.777,27,70,1.8,,,,,5,5,,5,25,32,188,264.5,44,58,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,30,0.84,30,20,3,,,,,,5,,,,4,13,26.8,16,18,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,30,0.84,30,30,3,,,,,,5,,,3,12,26,50.8,24,26,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,30,0.84,30,40,2.1,,,,,1,5,,,8,25,61,104.8,31,36,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,30,0.84,30,50,2.1,,,,,1,5,,3,22,25,129,189.8,38,48,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,30,0.84,30,60,2.1,,,,,8,5,,4,25,30,185,261.8,45,60,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,33,0.903,33,10,3.3,,,,,,5,,,,,4,14.1,10,12,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,33,0.903,33,20,3.3,,,,,,5,,,1,6,18,35.1,19,21,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,33,0.903,33,30,2.4,,,,,1,5,,,6,18,26,61.1,27,31,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,33,0.903,33,40,2.1,,,,1,2,5,,1,17,25,100,156.1,36,45,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,33,0.903,33,50,2.1,,,,2,3,5,,7,26,26,173,247.1,55,58,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,36,0.966,36,10,3.6,,,,,,5,,,,1,4,15.4,12,14,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,36,0.966,36,20,3.6,,,,,,5,,,3,8,22,43.4,21,25,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,36,0.966,36,30,2.4,,,,2,1,5,,,8,24,53,98.4,31,38,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,36,0.966,36,40,2.4,,,,3,2,5,,4,23,25,139,206.4,40,54,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,36,0.966,36,45,2.4,,,,3,4,5,,8,26,26,177,254.4,45,62,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,39,1.029,39,10,3.9,,,,,,5,,,,2,6,18.7,13,17,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,39,1.029,39,20,2.7,,,,1,1,5,,,3,9,26,50.7,24,28,0,,,,,,,,,,,,,,,,,,,,,
