Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,21,18,15,12,9,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,21,0.65,21,130,2.1,,,,,,5,,9,25,49,98,189.9,49,64,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,24,0.71,24,30,2.4,,,,,,5,,,,4,17,30.2,16,18,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,24,0.71,24,40,2.4,,,,,,5,,,,11,25,45.2,21,23,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,24,0.71,24,50,2.4,,,,,,5,,,3,22,25,59.2,26,29,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,24,0.71,24,60,2.4,,,,,,5,,,11,25,35,80.2,31,36,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,24,0.71,24,70,2.4,,,,,,5,,,20,26,49,104.2,36,42,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,24,0.71,24,80,2.4,,,,,,5,,3,25,26,71,134.2,41,49,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,24,0.71,24,90,2.4,,,,,,5,,11,25,34,85,164.2,46,56,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,24,0.71,24,100,2.4,,,,,,5,,16,26,44,93,188.2,51,62,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,24,0.71,24,110,2.4,,,,,,5,,21,25,52,100,207.2,56,68,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,27,0.78,27,20,2.7,,,,,,5,,,,2,8,19.5,14,15,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,27,0.78,27,30,2.7,,,,,,5,,,1,7,23,40.5,20,22,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,27,0.78,27,40,2.7,,,,,,5,,,4,19,26,58.5,26,29,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,27,0.78,27,50,2.7,,,,,,5,,,12,26,32,79.5,32,36,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,27,0.78,27,60,2.7,,,,,,5,,2,23,25,50,109.5,38,44,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,27,0.78,27,70,2.7,,,,,,5,,11,25,26,76,147.5,44,53,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,27,0.78,27,80,1.8,,,,,1,5,,19,25,39,88,181.5,51,60,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,27,0.78,27,90,1.8,,,,,2,5,,24,25,49,97,206.5,57,68,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,30,0.84,30,20,3,,,,,,5,,,,4,12,25.8,16,18,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,30,0.84,30,30,3,,,,,,5,,,3,11,26,49.8,24,26,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,30,0.84,30,40,2.1,,,,,1,5,,,8,25,25,68.8,31,34,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,30,0.84,30,50,2.1,,,,,1,5,,3,21,26,43,103.8,38,44,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,30,0.84,30,60,2.1,,,,,3,5,,10,26,25,73,146.8,45,54,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,30,0.84,30,70,1.8,,,,1,4,5,,19,25,39,89,186.8,53,63,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,30,0.84,30,80,1.8,,,,2,5,5,,25,25,51,98,215.8,60,72,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,33,0.90,33,10,3.3,,,,,,5,,,,,4,14.1,10,12,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,33,0.90,33,20,3.3,,,,,,5,,,1,6,17,34.1,19,21,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,33,0.90,33,30,2.4,,,,,1,5,,,6,18,25,60.1,27,31,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,33,0.90,33,40,2.1,,,,1,2,5,,1,16,26,35,91.1,36,41,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,33,0.90,33,50,2.1,,,,2,3,5,,7,25,26,63,136.1,44,53,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,33,0.90,33,60,2.1,,,,4,3,5,,19,26,37,86,185.1,52,64,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,33,0.90,33,70,2.1,,,,6,5,5,,25,25,50,98,219.1,61,75,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,36,0.97,36,10,3.6,,,,,,5,,,,1,4,15.4,12,14,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,36,0.97,36,20,3.6,,,,,,5,,,3,8,21,42.4,21,25,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,36,0.97,36,30,2.4,,,,2,1,5,,,8,23,26,70.4,31,36,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,36,0.97,36,40,2.4,,,,3,2,5,,4,22,26,44,111.4,40,49,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,36,0.97,36,50,2.1,,,1,4,4,5,,15,25,30,80,169.4,50,62,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,36,0.97,36,60,2.1,,,1,7,4,5,,25,25,47,95,214.4,59,75,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,39,1.03,39,10,3.9,,,,,,5,,,,2,6,18.7,13,17,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,39,1.03,39,20,2.7,,,,1,1,5,,,3,9,25,49.7,24,28,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,39,1.03,39,30,2.7,,,,3,2,5,,1,12,25,29,82.7,34,42,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,39,1.03,39,40,2.4,,,2,3,4,5,,7,26,25,52,129.7,45,57,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,39,1.03,39,50,2.4,,,2,7,4,5,,21,26,40,73,183.7,55,72,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,39,1.03,39,60,2.4,,,4,9,8,5,,24,26,55,86,222.7,66,86,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,42,1.09,42,10,4.2,,,,,,5,,,,4,6,21,15,19,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,42,1.09,42,20,3,,,,2,1,5,,,5,14,25,58,26,33,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,42,1.09,42,30,2.7,,,2,3,2,5,,3,18,26,38,103,38,49,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,42,1.09,42,40,2.7,,,3,5,4,5,,15,25,28,62,153,49,66,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,42,1.09,42,50,2.4,,1,4,8,5,5,,25,26,49,80,209,61,83,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,45,1.16,45,10,3.6,,,,,1,5,,,,4,8,24.3,16,21,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,45,1.16,45,20,3,,,1,2,2,5,,,7,18,26,67.3,29,38,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,45,1.16,45,30,3,,,3,4,2,5,,4,24,25,45,118.3,41,57,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,45,1.16,45,40,2.7,,2,3,7,4,5,,20,26,37,71,181.3,54,76,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,45,1.16,45,50,2.7,,3,6,10,8,5,,24,26,56,86,230.3,67,94,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,48,1.22,48,10,3.9,,,,,1,5,,,1,4,11,28.6,17,24,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,48,1.22,48,20,3.3,,,2,3,1,5,,,9,22,26,74.6,31,43,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,48,1.22,48,30,3,,2,3,4,4,5,,8,25,26,52,135.6,45,64,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,48,1.22,48,40,2.7,1,3,4,8,4,5,,25,25,46,78,205.6,59,86,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,51,1.28,51,10,3.9,,,,1,1,5,,,2,4,15,34.9,19,28,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,51,1.28,51,20,3.3,,1,2,3,2,5,,1,10,26,26,82.9,34,49,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,51,1.28,51,30,3,1,2,3,6,4,5,,13,26,26,60,152.9,49,72,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,51,1.28,51,40,3,2,3,6,8,8,5,,24,26,52,83,223.9,64,97,1,,,,,,,,,,,,,,,,,,,
